trade_id,signal_id,symbol,strategy_id,regime,side,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,qty,gross_pnl,fee,slippage,net_pnl,reward_risk,bars_held,exit_reason,entry_reason,filters_passed,filters_failed,expected_edge_bps,actual_edge_bps
TRD-SIG-BT-00000001,SIG-BT-00000001,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1578687600000,1578688500000,8083.056288,8065.271938,8066.885315,8112.164039,0.46379400,-8.248275,2.995799,4.122110,-15.366184,1.800000,16,stop_loss,"bullish momentum follow-through, body_ratio=0.74, body_atr=0.97, close_location=0.77, reclaim_distance_atr=0.00, volume_ratio=1.51, atr_bps=20.0",screening_bullish|confirmation_bullish_or_allowed_neutral|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,23.010823,-40.988809
TRD-SIG-BT-00000002,SIG-BT-00000002,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1579025820000,1579025820000,8828.485344,8804.392156,8806.153387,8868.682867,0.33480947,-8.066627,2.361462,3.249833,-13.677922,1.800000,1,stop_loss,"bullish momentum follow-through, body_ratio=0.80, body_atr=0.79, close_location=0.99, reclaim_distance_atr=0.00, volume_ratio=1.50, atr_bps=25.3",screening_bullish|confirmation_bullish_or_allowed_neutral|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,32.531619,-46.273910
TRD-SIG-BT-00000003,SIG-BT-00000003,BTCUSDT,screened_vwap_scalp_v2,bearish,short,1583997540000,1583998560000,7411.807342,7424.264556,7447.441530,7347.665804,0.20924944,-2.606665,1.241776,0.931071,-4.779512,1.800000,18,time_exit,"bearish momentum follow-through, body_ratio=0.61, body_atr=0.95, close_location=0.92, reject_distance_atr=0.00, volume_ratio=1.51, atr_bps=48.0",screening_bearish|confirmation_bearish_or_allowed_neutral|ema_ribbon_short|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,73.539672,-30.817339
TRD-SIG-BT-00000004,SIG-BT-00000004,BTCUSDT,screened_vwap_scalp_v2,bearish,short,1584007680000,1584007860000,7355.068692,7335.631085,7366.682270,7334.164252,0.64142719,12.467810,3.769206,2.828152,5.870452,1.800000,4,take_profit,"bearish momentum follow-through, body_ratio=0.61, body_atr=0.71, close_location=0.79, reject_distance_atr=0.00, volume_ratio=1.80, atr_bps=15.8",screening_bearish|confirmation_bearish_or_allowed_neutral|ema_ribbon_short|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,15.421815,12.443354
TRD-SIG-BT-00000005,SIG-BT-00000005,BTCUSDT,screened_vwap_scalp_v2,bearish,short,1584223440000,1584223740000,5302.579272,5279.555231,5315.956906,5278.499531,0.55750294,12.835971,2.359828,1.771155,8.704987,1.800000,6,take_profit,"bearish momentum follow-through, body_ratio=0.95, body_atr=2.10, close_location=0.97, reject_distance_atr=0.00, volume_ratio=1.43, atr_bps=25.2",screening_bearish|confirmation_bearish_or_allowed_neutral|ema_ribbon_short|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,32.411374,29.446506
TRD-SIG-BT-00000006,SIG-BT-00000006,BTCUSDT,screened_vwap_scalp_v2,bearish,short,1584921900000,1584921960000,5803.569054,5850.879194,5849.709252,5720.516697,0.16192232,-7.660567,0.754846,1.035232,-9.450645,1.800000,2,stop_loss,"bearish momentum follow-through, body_ratio=0.60, body_atr=0.68, close_location=0.86, reject_distance_atr=0.00, volume_ratio=2.79, atr_bps=79.5",screening_bearish|confirmation_bearish_or_allowed_neutral|ema_ribbon_short|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,130.105657,-100.567952
TRD-SIG-BT-00000007,SIG-BT-00000007,BTCUSDT,screened_vwap_scalp_v2,bearish,short,1586785500000,1586785620000,6682.183296,6694.148258,6692.809696,6663.055776,0.70173829,-8.396272,3.754674,5.159737,-17.310683,1.800000,3,stop_loss,"bearish momentum follow-through, body_ratio=0.66, body_atr=0.61, close_location=0.81, reject_distance_atr=0.00, volume_ratio=1.45, atr_bps=15.9",screening_bearish|confirmation_bearish_or_allowed_neutral|ema_ribbon_short|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,15.624656,-36.916510
TRD-SIG-BT-00000008,SIG-BT-00000008,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1596211380000,1596211380000,11356.150776,11405.940664,11327.222147,11408.222309,0.25687307,12.789681,2.338787,1.752812,8.698082,1.800000,1,take_profit,"bullish momentum follow-through, body_ratio=0.82, body_atr=0.89, close_location=0.87, reclaim_distance_atr=0.00, volume_ratio=1.47, atr_bps=25.5",screening_bullish|confirmation_bullish_or_allowed_neutral|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,32.853154,29.817675
TRD-SIG-BT-00000009,SIG-BT-00000009,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1606820460000,1606820460000,19811.021412,19776.916769,19780.872944,19865.288655,0.24691247,-8.420862,3.909902,5.379063,-17.709827,1.800000,1,stop_loss,"bullish momentum follow-through, body_ratio=0.75, body_atr=1.19, close_location=0.86, reclaim_distance_atr=0.00, volume_ratio=1.66, atr_bps=15.2",screening_bullish|confirmation_bullish_or_allowed_neutral|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,14.392451,-36.204655
TRD-SIG-BT-00000010,SIG-BT-00000010,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1608850740000,1608850800000,23701.869426,23660.586712,23665.319776,23767.658796,0.20294225,-8.378007,3.844737,5.289446,-17.512190,1.800000,2,stop_loss,"bullish momentum follow-through, body_ratio=0.65, body_atr=0.93, close_location=0.71, reclaim_distance_atr=0.00, volume_ratio=2.35, atr_bps=15.4",screening_bullish|confirmation_bullish_or_allowed_neutral|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,14.757038,-36.407042
